_num,_widgetName,_source,_resultNumber,_pageUrl,ranking,provincia,espectadores,salas,recaudacion
73,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,21,Pontevedra,1.424.027,68,8.165.49070 €
125,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,21,Navarra,1.526.099,75,8.982.18649 €
177,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,21,Navarra,1.322.421,78,8.150.73880 €
229,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,21,Pontevedra,1.301.423,64,8.915.26700 €
22,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,22,Valladolid,1.059.744,65,6.449.03744 €
74,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,22,Valladolid,1.305.488,70,6.685.37610 €
126,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,22,Valladolid,1.259.870,70,6.688.22180 €
178,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,22,Cantabria,1.106.634,37,6.380.54901 €
230,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,22,Valladolid,1.180.623,56,6.964.42390 €
23,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,23,Cantabria,1.060.281,36,6.335.98703 €
75,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,23,Cantabria,1.142.144,44,6.170.26183 €
127,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,23,Córdoba,1.170.323,60,6.392.88215 €
179,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,23,Córdoba,1.055.791,56,6.341.28746 €
231,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,23,Córdoba,1.093.252,53,6.573.95962 €
24,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,24,Córdoba,1.073.863,55,6.333.92392 €
76,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,24,Córdoba,1.183.876,60,5.802.76790 €
128,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,24,Cantabria,1.044.649,35,6.035.55370 €
180,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,24,Valladolid,1.030.879,55,6.145.15291 €
232,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,24,Cantabria,1.071.242,36,6.353.20824 €
25,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,25,Castellón,913.041,49,5.810.13435 €
77,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,25,Castellón,985.338,53,5.711.44940 €
129,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,25,Castellón,1.018.350,48,5.999.09310 €
181,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,25,Castellón,930.860,49,5.837.04570 €
233,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,25,Castellón,962.814,49,6.094.23359 €
26,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,26,Almería,894.968,39,5.266.77123 €
78,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,26,Almería,1.050.373,46,4.945.53125 €
130,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,26,Almería,1.057.076,44,5.323.99715 €
182,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,26,Almería,941.242,42,5.535.01691 €
234,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,26,Almería,962.554,46,5.392.28820 €
27,CineRecProv,CineRecProv,27,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,27,Lleida,721.442,56,4.808.27805 €
79,CineRecProv,CineRecProv,27,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,27,Álava,788.216,41,4.683.97860 €
131,CineRecProv,CineRecProv,27,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,27,Toledo,907.473,33,5.195.08630 €
183,CineRecProv,CineRecProv,27,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,27,Lleida,780.573,59,5.145.54280 €
235,CineRecProv,CineRecProv,27,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,27,Toledo,827.265,39,5.319.79410 €
28,CineRecProv,CineRecProv,28,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,28,Toledo,747.315,37,4.699.77721 €
80,CineRecProv,CineRecProv,28,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,28,Toledo,870.323,35,4.615.41460 €
132,CineRecProv,CineRecProv,28,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,28,Lérida,861.136,55,5.178.54685 €
184,CineRecProv,CineRecProv,28,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,28,Toledo,784.516,42,5.086.37363 €
236,CineRecProv,CineRecProv,28,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,28,Lérida,784.586,55,5.089.38260 €
